Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9824253075571178,0.9902912621359223,0.9622641509433962,0.9760765550239234
Decision Tree,0.9947275922671354,1.0,0.9858490566037735,0.9928741092636578
K-Nearest Neighbors,0.9806678383128296,0.0,0.0,0.0
